,agent,opponent
1036,560,478
1037,561,478
1038,562,478
1039,563,478
1040,564,478
1041,565,478
1042,566,478
1043,567,478
1044,568,478
1045,569,478
1046,570,478
1047,571,478
1048,572,478
1049,572,479
1050,572,480
1051,573,480
1052,574,480
1053,575,480
1054,576,480
1055,577,480
1056,578,480
1057,579,480
1058,580,480
1059,581,480
1060,582,480
1061,583,480
1062,584,480
1063,584,481
1064,585,481
1065,586,481
1066,586,482
1067,587,482
1068,588,482
1069,589,482
1070,590,482
1071,590,483
1072,590,484
1073,591,484
1074,592,484
1075,592,485
1076,592,486
1077,593,486
1078,594,486
1079,595,486
1080,596,486
1081,597,486
1082,597,487
1083,597,488
1084,598,488
1085,598,489
1086,598,490
1087,598,491
1088,599,491
1089,600,491
1090,600,492
1091,600,493
1092,601,493
1093,602,493
1094,603,493
1095,604,493
1096,605,493
1097,606,493
1098,606,494
1099,606,495
1100,607,495
1101,608,495
1102,609,495
1103,610,495
1104,611,495
1105,611,496
1106,611,497
1107,612,497
1108,613,497
1109,614,497
1110,614,498
1111,614,499
1112,615,499
1113,616,499
1114,617,499
1115,618,499
1116,619,499
1117,620,499
1118,621,499
1119,621,500
1120,622,500
1121,623,500
1122,623,501
1123,623,502
1124,624,502
1125,625,502
1126,626,502
1127,627,502
1128,628,502
1129,628,503
1130,628,504
1131,629,504
1132,630,504
1133,630,505
1134,631,505
1135,632,505
1136,633,505
1137,634,505
1138,634,506
1139,635,506
1140,636,506
1141,637,506
1142,638,506
1143,639,506
1144,640,506
1145,641,506
1146,642,506
1147,643,506
1148,644,506
1149,645,506
1150,646,506
1151,647,506
1152,647,507
1153,648,507
1154,648,508
1155,649,508
1156,650,508
1157,650,509
1158,651,509
1159,652,509
1160,653,509
1161,653,510
1162,654,510
1163,655,510
1164,656,510
1165,656,511
1166,657,511
1167,658,511
1168,658,512
1169,659,512
1170,660,512
1171,661,512
1172,662,512
1173,662,513
1174,662,514
1175,663,514
1176,664,514
1177,664,515
1178,664,516
1179,665,516
1180,666,516
1181,666,517
1182,666,518
1183,667,518
1184,668,518
1185,669,518
1186,670,518
1187,671,518
1188,671,519
1189,672,519
1190,673,519
1191,673,520
1192,673,521
1193,674,521
1194,675,521
1195,676,521
1196,677,521
1197,678,521
1198,679,521
1199,680,521
1200,681,521
1201,682,521
1202,683,521
1203,684,521
1204,685,521
1205,686,521
1206,687,521
1207,688,521
1208,688,522
1209,689,522
1210,690,522
1211,690,523
1212,691,523
1213,692,523
1214,693,523
1215,694,523
1216,695,523
1217,695,524
1218,695,525
1219,696,525
1220,697,525
1221,698,525
1222,699,525
1223,700,525
1224,700,526
1225,700,527
1226,700,528
1227,701,528
1228,702,528
1229,703,528
1230,704,528
1231,705,528
1232,705,529
1233,706,529
1234,707,529
1235,708,529
1236,709,529
1237,709,530
1238,710,530
1239,711,530
1240,712,530
1241,712,531
1242,713,531
1243,714,531
1244,714,532
1245,714,533
1246,715,533
1247,716,533
1248,717,533
1249,717,534
1250,718,534
1251,719,534
1252,720,534
1253,720,535
1254,720,536
1255,721,536
1256,721,537
1257,722,537
1258,723,537
1259,724,537
1260,724,538
1261,724,539
1262,725,539
1263,726,539
1264,727,539
1265,728,539
1266,729,539
1267,729,540
1268,730,540
1269,731,540
1270,732,540
1271,732,541
1272,732,542
1273,733,542
1274,734,542
1275,734,543
1276,735,543
1277,736,543
1278,736,544
1279,736,545
1280,737,545
1281,738,545
1282,739,545
1283,739,546
1284,739,547
1285,739,548
1286,740,548
1287,741,548
1288,742,548
1289,743,548
1290,744,548
1291,745,548
1292,746,548
1293,747,548
1294,748,548
1295,748,549
1296,748,550
1297,748,551
1298,749,551
1299,750,551
1300,750,552
1301,751,552
1302,752,552
1303,753,552
1304,754,552
1305,755,552
1306,755,553
1307,756,553
1308,757,553
1309,757,554
1310,758,554
1311,758,555
1312,759,555
1313,759,556
1314,760,556
1315,761,556
1316,761,557
1317,761,558
1318,761,559
1319,762,559
1320,763,559
1321,764,559
1322,765,559
1323,766,559
1324,766,560
1325,767,560
1326,768,560
1327,769,560
1328,770,560
1329,771,560
1330,771,561
1331,772,561
1332,773,561
1333,774,561
1334,775,561
1335,775,562
1336,776,562
1337,777,562
1338,778,562
1339,779,562
1340,780,562
1341,781,562
1342,782,562
1343,783,562
1344,784,562
1345,785,562
1346,786,562
1347,787,562
1348,787,563
1349,788,563
1350,789,563
1351,789,564
1352,790,564
1353,790,565
1354,790,566
1355,790,567
1356,790,568
1357,791,568
1358,791,569
1359,791,570
1360,791,571
1361,791,572
1362,791,573
1363,791,574
1364,792,574
1365,793,574
1366,794,574
1367,795,574
1368,796,574
1369,797,574
1370,797,575
1371,798,575
1372,798,576
1373,799,576
1374,799,577
1375,800,577
1376,800,578
1377,801,578
1378,801,579
1379,801,580
1380,801,581
1381,801,582
1382,802,582
1383,803,582
1384,803,583
1385,803,584
1386,803,585
1387,803,586
1388,804,586
1389,804,587
1390,805,587
1391,805,588
1392,805,589
1393,805,590
1394,806,590
1395,806,591
1396,806,592
1397,806,593
1398,806,594
1399,806,595
1400,807,595
1401,808,595
1402,808,596
1403,809,596
1404,809,597
1405,810,597
1406,810,598
1407,811,598
1408,812,598
1409,812,599
1410,812,600
1411,812,601
1412,813,601
1413,814,601
1414,815,601
1415,816,601
1416,816,602
1417,816,603
1418,817,603
1419,818,603
1420,819,603
1421,820,603
1422,821,603
1423,821,604
1424,822,604
1425,823,604
1426,823,605
1427,823,606
1428,823,607
1429,823,608
1430,823,609
1431,824,609
1432,824,610
1433,824,611
1434,824,612
1435,825,612
1436,826,612
1437,827,612
1438,828,612
1439,828,613
1440,829,613
1441,829,614
1442,830,614
1443,830,615
1444,831,615
1445,832,615
1446,833,615
1447,833,616
1448,834,616
1449,834,617
1450,835,617
1451,836,617
1452,836,618
1453,837,618
1454,838,618
1455,839,618
1456,840,618
1457,840,619
1458,840,620
1459,840,621
1460,841,621
1461,841,622
1462,842,622
1463,842,623
1464,843,623
1465,844,623
1466,845,623
1467,846,623
1468,847,623
1469,848,623
1470,848,624
1471,849,624
1472,850,624
1473,851,624
1474,851,625
1475,852,625
1476,853,625
1477,853,626
1478,854,626
1479,855,626
1480,856,626
1481,856,627
1482,857,627
1483,858,627
1484,858,628
1485,859,628
1486,859,629
1487,859,630
1488,860,630
1489,861,630
1490,861,631
1491,861,632
1492,861,633
1493,862,633
1494,863,633
1495,864,633
1496,864,634
1497,864,635
1498,864,636
1499,865,636
1500,865,637
1501,865,638
1502,865,639
1503,866,639
1504,866,640
1505,867,640
1506,867,641
1507,868,641
1508,868,642
1509,868,643
1510,868,644
1511,868,645
1512,869,645
1513,869,646
1514,869,647
1515,870,647
1516,870,648
1517,871,648
1518,871,649
1519,872,649
1520,873,649
1521,873,650
1522,873,651
1523,874,651
1524,874,652
1525,875,652
1526,876,652
1527,876,653
1528,876,654
1529,877,654
1530,878,654
1531,879,654
1532,880,654
1533,881,654
1534,882,654
1535,882,655
1536,882,656
1537,882,657
1538,883,657
1539,884,657
1540,884,658
1541,885,658
1542,886,658
1543,886,659
1544,886,660
1545,886,661
1546,886,662
1547,887,662
1548,888,662
1549,889,662
1550,889,663
1551,890,663
1552,891,663
1553,891,664
1554,892,664
1555,893,664
1556,893,665
1557,894,665
1558,895,665
1559,895,666
1560,895,667
1561,896,667
1562,897,667
1563,898,667
1564,899,667
1565,899,668
1566,899,669
1567,900,669
1568,901,669
1569,902,669
1570,902,670
1571,902,671
1572,903,671
1573,903,672
1574,904,672
1575,904,673
1576,904,674
1577,904,675
1578,905,675
1579,906,675
1580,906,676
1581,906,677
1582,907,677
1583,907,678
1584,907,679
1585,907,680
1586,908,680
1587,908,681
1588,908,682
1589,909,682
1590,910,682
1591,910,683
1592,911,683
1593,911,684
1594,911,685
1595,911,686
1596,911,687
1597,912,687
1598,913,687
1599,913,688
1600,914,688
1601,915,688
1602,916,688
1603,916,689
1604,917,689
1605,917,690
1606,918,690
1607,918,691
1608,918,692
1609,919,692
1610,919,693
1611,920,693
1612,920,694
1613,920,695
1614,920,696
1615,920,697
1616,920,698
